epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,496.74,0.90147,0.94929,0.96752,0.92679,0.90431,0.96037,0.6219,1.3069,0.84272,1.20091,0.0011684,0.0011684,0.0011684
44,508.784,0.83976,0.83236,1.04593,0.8858,0.92352,0.95953,0.62488,1.26504,0.81246,1.1658,0.0011486,0.0011486,0.0011486
45,520.004,1.04845,0.94484,1.16978,0.8858,0.92352,0.95953,0.62488,1.26504,0.81246,1.1658,0.0011288,0.0011288,0.0011288
46,531.172,0.94455,0.7733,1.02141,0.92244,0.92857,0.96293,0.68085,1.09265,0.78727,1.06595,0.001109,0.001109,0.001109
47,542.744,1.03311,0.83677,1.04623,0.92667,0.90267,0.96501,0.65328,1.17035,0.81196,1.10699,0.0010892,0.0010892,0.0010892
48,554.668,0.98462,0.80598,1.03007,0.90552,0.85714,0.96676,0.62331,1.28039,0.8141,1.18355,0.0010694,0.0010694,0.0010694
49,566.131,0.9078,0.70766,1.02433,0.90552,0.85714,0.96676,0.62331,1.28039,0.8141,1.18355,0.0010496,0.0010496,0.0010496
50,577.938,0.87659,1.68181,1.01133,0.89436,0.83333,0.94965,0.59006,1.37222,0.89004,1.26556,0.0010298,0.0010298,0.0010298
51,588.759,0.93446,0.70633,1.03596,0.94391,0.80157,0.94825,0.60796,1.33711,0.85266,1.24564,0.00101,0.00101,0.00101
52,598.451,1.05522,0.81511,1.15448,0.96654,0.83333,0.95531,0.64998,1.18191,0.83302,1.14466,0.0009902,0.0009902,0.0009902
53,608.195,0.94285,0.76025,1.02349,0.96654,0.83333,0.95531,0.64998,1.18191,0.83302,1.14466,0.0009704,0.0009704,0.0009704
54,618.066,0.80466,0.77072,0.97664,0.96274,0.83333,0.95297,0.64641,1.16634,0.83972,1.11785,0.0009506,0.0009506,0.0009506
55,627.644,0.8258,0.6713,0.95923,0.9382,0.85714,0.95587,0.62463,1.25513,0.85403,1.18207,0.0009308,0.0009308,0.0009308
56,639.253,0.88613,0.88146,1.05631,0.88521,0.91815,0.96466,0.63994,1.22085,0.84758,1.15489,0.000911,0.000911,0.000911
57,650.082,0.83778,0.89482,1.02638,0.88521,0.91815,0.96466,0.63994,1.22085,0.84758,1.15489,0.0008912,0.0008912,0.0008912
58,661.742,1.05841,0.91924,1.03767,0.94856,0.87819,0.96493,0.6652,1.15805,0.7943,1.10684,0.0008714,0.0008714,0.0008714
59,673.729,0.91616,0.69917,1.03223,0.97297,0.85714,0.96542,0.66325,1.14243,0.76964,1.10025,0.0008516,0.0008516,0.0008516
60,685.81,0.71132,0.73437,0.97444,0.96914,0.88095,0.97292,0.63554,1.23419,0.7759,1.16586,0.0008318,0.0008318,0.0008318
61,697.51,0.83046,0.64577,1.02677,0.96914,0.88095,0.97292,0.63554,1.23419,0.7759,1.16586,0.000812,0.000812,0.000812
62,709.672,0.93072,0.75286,1.02128,0.92299,0.90476,0.96455,0.59815,1.32291,0.8024,1.24476,0.0007922,0.0007922,0.0007922
63,721.933,0.81518,0.69345,0.97552,0.94051,0.88095,0.96174,0.61914,1.26356,0.79174,1.22035,0.0007724,0.0007724,0.0007724
64,734.53,0.84006,0.75676,0.99922,0.99002,0.85714,0.95582,0.65093,1.15253,0.79221,1.14843,0.0007526,0.0007526,0.0007526
65,747.224,0.80027,0.68791,0.95267,0.99002,0.85714,0.95582,0.65093,1.15253,0.79221,1.14843,0.0007328,0.0007328,0.0007328
66,759.711,0.77827,0.63045,0.97657,0.9652,0.85714,0.94923,0.65791,1.11819,0.75294,1.11586,0.000713,0.000713,0.000713
67,771.541,0.78163,0.69065,0.98009,0.94772,0.86329,0.94594,0.65954,1.13296,0.79671,1.1008,0.0006932,0.0006932,0.0006932
68,783.534,0.77545,0.61927,0.96612,1,0.80831,0.93263,0.6437,1.13606,0.79814,1.09761,0.0006734,0.0006734,0.0006734
69,795.101,0.67826,0.75293,0.92305,1,0.80831,0.93263,0.6437,1.13606,0.79814,1.09761,0.0006536,0.0006536,0.0006536
